UNITE;NOM JOURNAL OU CONF;NOM ARTICLE;AUTEURS;ADRESSE;;
;NATURE GEOSCIENCE;OBSERVATIONAL EVIDENCE FOR ACTIVE DUST STORMS ON TITAN AT EQUINOX;"APPERE, T.;";" UNIV J FOURIER, INST PLANETOL & ASTROPHYS GRENOBLE, CNRS, INSU, GRENOBLE, FRANCE.; ";;
;MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY;A COMPREHENSIVE STUDY OF HIGH-ENERGY GAMMA-RAY AND RADIO EMISSION FROM CYG X-3;DUBUS, GUILLAUME;" UJF GRENOBLE 1 CNRS INSU, INST PLANETOL & ASTROPHYS GRENOBLE, UMR 5274, F-38041 GRENOBLE, FRANCE.; ";;
;REMOTE SENSING;EXPLORATION OF PLANETARY HYPERSPECTRAL IMAGES WITH UNSUPERVISED SPECTRAL UNMIXING: A CASE STUDY OF PLANET MARS;DOUTE, SYLVAIN;" CNRS, INST PLANETOL & ASTROPHYS GRENOBLE, F-38000 GRENOBLE, FRANCE.; ";;
;INTERNATIONAL JOURNAL OF REMOTE SENSING;MULTI-TEMPORAL POLARIMETRY IN LAND-COVER CLASSIFICATION;LEWINSKI, STANISLAW;" CNRS UGA, INST PLANETOL & ASTROPHYS GRENOBLE, GRENOBLE, FRANCE.;";;
;OPTICAL DESIGN AND ENGINEERING VII;OPTICAL DESIGN OF THE POST FOCAL RELAY OF MAORY;"FEAUTRIER, P.;";" INST PLANETOL & ASTROPHYS GRENOBLE, 414 RUE PISCINE,DOMAINE UNIV, F-38400 ST MARTIN DHERES, FRANCE.;";;
;OPTICAL DESIGN AND ENGINEERING VII;MAORY OPTICAL DESIGN ANALYSIS AND TOLERANCES;"FEAUTRIER, P.;";" INST PLANETOL & ASTROPHYS GRENOBLE, 414 RUE PISCINE,DOMAINE UNIV, F-38400 ST MARTIN DHERES, FRANCE.; ";;
;ADAPTIVE OPTICS SYSTEMS VI;MAORY REQUIREMENTS FLOW DOWN AND TECHNICAL BUDGETS;"STADLER, E.;; FEAUTRIER, F.;";" INST PLANETOL & ASTROPHYS GRENOBLE, 414,RUE PISCINE,DOMAINE UNIV, F-38400 ST MARTIN DHERES, FRANCE.; ";;
;ADAPTIVE OPTICS SYSTEMS VI;SHARK-NIR, THE CORONAGRAPHIC CAMERA FOR LBT IN THE AIV PHASE AT INAF-PADOVA;"CARLOTTI, ALEXIS; ZANUTTA, ALESSIO";" INST PLANETOL & ASTROPHYS GRENOBLE, 414 RUE PISCINE,DOMAINE UNIV, F-38400 ST MARTIN DHERES, FRANCE.; ";;
;ADAPTIVE OPTICS SYSTEMS VI;LO WFS OF MAORY: PERFORMANCE AND SKY COVERAGE ASSESSMENT;"FEAUTRIER, P.;";" DOMAINE UNIV, INST PLANETOL & ASTROPHYS GRENOBLE, 414 RUE PISCINE, F-38400 ST MARTIN DHERES, FRANCE.;";;
;GEOCHIMICA ET COSMOCHIMICA ACTA;A HISTORY OF VIOLENCE: INSIGHTS INTO POST-ACCRETIONARY HEATING IN CARBONACEOUS CHONDRITES FROM VOLATILE ELEMENT ABUNDANCES, ZN ISOTOPES AND WATER CONTENTS;BECK, PIERRE;" UJF GRENOBLE 1, CNRS INSU, INST PLANETOL & ASTROPHYS GRENOBLE, UMR 5274, F-38041 GRENOBLE, FRANCE.;";;
;GROUND-BASED AND AIRBORNE INSTRUMENTATION FOR ASTRONOMY VII;SPIROU @CFHT: INTEGRATION AND PERFORMANCE OF THE CRYOGENIC NEAR INFRA-RED SPECTROGRAPH UNIT;RABOU, PATRICK;" UNIV JOSEPH FOURIER, CNRS, INST PLANETOL & ASTROPHYS GRENOBLE, UMR 5274, BP 53, F-38041 GRENOBLE 9, FRANCE.; ";;
;OPTICAL AND INFRARED INTERFEROMETRY AND IMAGING VI;SHARK-NIR CORONAGRAPHIC SIMULATIONS: PERFORMANCE DEPENDENCE ON THE STREHL RATIO;"CARLOTTI, A.;";" DOMAINE UNIV, INST PLANETOL & ASTROPHYS GRENOBLE, 414,RUE PISCINE, F-38400 ST MARTIN DHERES, FRANCE.; ";;
;PLANETARY AND SPACE SCIENCE;VIRTUAL PLANETARY SPACE WEATHER SERVICES OFFERED BY THE EUROPLANET H2020 RESEARCH INFRASTRUCTURE;"BARTHELEMY, M.;";" INSU, CNRS, UGA, INST PLANETOL & ASTROPHYS GRENOBLE, GRENOBLE, FRANCE.; ";;
;MODELING, SYSTEMS ENGINEERING, AND PROJECT MANAGEMENT FOR ASTRONOMY VIII;ORGANIZATION, MANAGEMENT AND RISK ANALYSIS OF THE MAORY PROJECT;"FEAUTRIER, P.;; STADLER, ERIC";" INST PLANETOL & ASTROPHYS GRENOBLE, 414 RUE PISCINE,DOMAINE UNIV, F-38400 ST MARTIN DHERES, FRANCE.; ";;
;MODELING, SYSTEMS ENGINEERING, AND PROJECT MANAGEMENT FOR ASTRONOMY VIII;PRECISE ALIGNMENT METHOD FOR MAORY;"FEAUTRIER, P.;";" INST PLANETOL & ASTROPHYS GRENOBLE, 414 RUE PISCINE,DOMAINE UNIV, F-38400 ST MARTIN DHERES, FRANCE.; ";;
;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;THEORETICAL INVESTIGATION OF POSSIBLE FORMATION ROUTES OF INTERSTELLAR SIS;CECCARELLI, CECILIA;" INST PLANETOL & ASTROPHYS GRENOBLE, GRENOBLE, FRANCE.; ";;
ISTERRE;;;;;;
;JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH;MATRIX APPROACH OF SEISMIC IMAGING: APPLICATION TO THE EREBUS VOLCANO, ANTARCTICA;CAMPILLO, MICHEL;" UNIV JOSEPH FOURIER, MAISON GEOSCI, ISTERRE, GRENOBLE, FRANCE.;";;
;EARTH AND PLANETARY SCIENCE LETTERS;KINEMATIC STUDY OF IQUIQUE 2014 M-W 8.1 EARTHQUAKE: UNDERSTANDING THE SEGMENTATION OF THE SEISMOGENIC ZONE;"JARA, JORGE; SANCHEZ-REYES, HUGO; SOCQUET, ANNE; VIRIEUX, JEAN; WALPERSDORF, ANDREA; COTTE, NATHALIE";" UNIV GRENOBLE ALOES, UNIV SAVOIE MONT BLANC, CNRS, IRD,IFSTTAR,ISTERRE, F-38000 GRENOBLE, FRANCE.; ";;
;EARTH AND PLANETARY SCIENCE LETTERS;DOWNSTREAM EVOLUTION OF THE THERMOCHRONOLOGIC AGE SIGNAL IN THE BRAHMAPUTRA CATCHMENT (EASTERN HIMALAYA): IMPLICATIONS FOR THE DETRITAL RECORD OF EROSION;"VAN DER BEEK, P.; A.;; BRAUN, J.;; BERNET, M.;";" UNIV GRENOBLE ALOES, CNRS, INST SCI TERRE ISTERRE, GRENOBLE, FRANCE.; ";;
;TECTONICS;DOES LONG-TERM GPS IN THE WESTERN ALPS FINALLY CONFIRM EARTHQUAKE MECHANISMS?;"WALPERSDORF, A.;; PINGET, L.;; DEPREZ, A.;";" UNIV SAVOIE MT BLANC, UNIVERS GRENOBLE ALPES, CNRS, IRD,IFSTTAR,ISTERRE, GRENOBLE, FRANCE.; ";;
;GEOPHYSICAL JOURNAL INTERNATIONAL;MAGNETOMETRIC RESISTIVITY: A NEW APPROACH AND ITS APPLICATION TO THE DETECTION OF PREFERENTIAL FLOW PATHS IN MINE WASTE ROCK DUMPS;"REVIL, A.;";" UNIV SAVOIE MT BLANC, CNRS, IRD, IFSTTAR,ISTERRE, F-73000 CHAMBERY, FRANCE.;";;
;GEOPHYSICS;INDUCED POLARIZATION RESPONSE OF POROUS MEDIA WITH METALLIC PARTICLES -PART 7: DETECTION AND QUANTIFICATION OF BURIED SLAG HEAPS;GHORBANI, AHMAD;" UNIV SAVOIE MT BLANC, ISTERRE, F-73000 CHAMBERY, FRANCE.; ";;
;JOURNAL OF GEOPHYSICAL RESEARCH-PLANETS;THE SEARCH FOR ACTIVE MARSQUAKES USING SUBPIXEL COREGISTRATION AND CORRELATION: BEST PRACTICE AND FIRST RESULTS;HOLLINGSWORTH, JAMES;" CNRS, ISTERRE, GRENOBLE, FRANCE.; ";;
;SEISMOLOGICAL RESEARCH LETTERS;THE FORECASTING SKILL OF PHYSICS-BASED SEISMICITY MODELS DURING THE 2010-2012 CANTERBURY, NEW ZEALAND, EARTHQUAKE SEQUENCE;HELMSTETTER, AGNES;" UNIV GRENOBLE, ISTERRE, CNRS, 25 AVE MARTYRS, GRENOBLE, FRANCE.; ";;
;GEOBIOS;FIRST EVIDENCE FOR THE EARLY APTIAN OCEANIC ANOXIC EVENT (OAE1A) FROM THE WESTERN MARGIN OF THE PINDOS OCEAN (NW GREECE);GIRAUD, FABIENNE;" CNRS, ISTERRE, F-38041 GRENOBLE, FRANCE.; ";;
;GEOPHYSICAL JOURNAL INTERNATIONAL;INTEGRATION OF AMBIENT SEISMIC NOISE MONITORING, DISPLACEMENT AND METEOROLOGICAL MEASUREMENTS TO INFER THE TEMPERATURE-CONTROLLED LONG-TERM EVOLUTION OF A COMPLEX PRONE-TO-FALL CLIFF;"JONGMANS, D.;; LAROSE, E.;; VALENTIN, J.;";" ISTERRE, CNRS, F-38041 GRENOBLE, FRANCE.;";;
;BULLETIN OF EARTHQUAKE ENGINEERING;UNDERSTANDING SINGLE-STATION GROUND MOTION VARIABILITY AND UNCERTAINTY (SIGMA): LESSONS LEARNT FROM EUROSEISTEST;KTENIDOU, OLGA-JOAN;" UNIV GRENOBLE 1, ISTERRE, CNRS, F-38041 GRENOBLE, FRANCE.;";;
;PLOS ONE;THE POLY-GAMMA-GLUTAMATE OF BACILLUS SUBTILIS INTERACTS SPECIFICALLY WITH SILVER NANOPARTICLES;"EYMARD-VERNAIN, ELISE; SARRET, GERALDINE";" CNRS UGA, ISTERRE, GRENOBLE, FRANCE.; ";;
;CHEMISTRY OF MATERIALS;TWO-STEP NUCLEATION PROCESS OF CALCIUM SILICATE HYDRATE, THE NANOBRICK OF CEMENT;"FERNANDEZ-MARTINEZ, ALEJANDRO; VAN DRIESSCHE, ALEXANDER E.; S.;";" ISTERRE CNRS, 1381 RUE PISCINE, F-38041 GRENOBLE, FRANCE.; ";;
;BULLETIN OF EARTHQUAKE ENGINEERING;SPATIAL VARIABILITY OF EARTHQUAKE GROUND MOTIONS AT THE DAM-FOUNDATION ROCK INTERFACE OF SAINT GUERIN: EXPERIMENTAL AND NUMERICAL INVESTIGATIONS;"BARD, P.; Y.;";" IFSTTAR, ISTERRE, F-38058 GRENOBLE, FRANCE.; ";;
;JOURNAL OF VOLCANOLOGY AND GEOTHERMAL RESEARCH;3D ELECTRICAL CONDUCTIVITY TOMOGRAPHY OF VOLCANOES;"AHMED, A.; SOUEID; REVIL, A.;; BYRDINA, S.;; COPEREY, A.;";" UNIV SAVOIE MT BLANC, ISTERRE, CHAMBERY, FRANCE.; ";;
;GEOPHYSICS;3D GEOSTATISTICAL INVERSION OF INDUCED POLARIZATION DATA AND ITS APPLICATION TO COAL SEAM FIRES;"AHMED, ABDELLAHI SOUEID; REVIL, ANDRE";" UNIV SAVOIE MT BLANC, ISTERRE, CHAMBERY, FRANCE.; ";;
;TRIBOLOGY INTERNATIONAL;VALIDATION OF A NEW FRICTIONAL LAW FOR SIMULATING FRICTION-INDUCED VIBRATIONS OF ROUGH SURFACES;"BAILLET, L.;";" JOSEPH FOURIER UNIV, ISTERRE, GRENOBLE, FRANCE.;";;
;GEOPHYSICAL JOURNAL INTERNATIONAL;3-D INTERPRETATION OF SHORT-PERIOD MAGNETOTELLURIC DATA AT FURNAS VOLCANO, AZORES ISLANDS;"BYRDINA, S.;; VANDEMEULEBROUCK, J.;; REVIL, A.;";" UNIV SAVOIE MT BLANC, CNRS, IRD, IFSTTAR,ISTERRE, F-73000 CHAMBERY, FRANCE.; ";;
;GEOPHYSICAL JOURNAL INTERNATIONAL;3-D TIME-DOMAIN INDUCED POLARIZATION TOMOGRAPHY: A NEW APPROACH BASED ON A SOURCE CURRENT DENSITY FORMULATION;"AHMED, A.; SOUEID; REVIL, A.;";" UNIV SAVOIE MT BLANC, ISTERRE, F-73000 CHAMBERY, FRANCE.;";;
;GEOPHYSICAL JOURNAL INTERNATIONAL;A CONTINUOUS MAP OF NEAR-SURFACE S-WAVE ATTENUATION IN NEW ZEALAND;KTENIDOU, OLGA-JOAN;" UNIV GRENOBLE 1, CNRS, ISTERRE, INST SCI TERRE, F-38041 GRENOBLE, FRANCE.;";;
;JOURNAL OF APPLIED GEOPHYSICS;FINDING BURIED METALLIC PIPES USING A NON-DESTRUCTIVE APPROACH BASED ON 3D TIME-DOMAIN INDUCED POLARIZATION DATA;"SHAO, ZHENLU; REVIL, ANDRE";" UNIV SAVOIE MONT BLANC, ISTERRE, CHAMBERY, FRANCE.; ";;
;GEOPHYSICS;COMPLEX CONDUCTIVITY OF TIGHT SANDSTONES;"REVIL, ANDRE; COPEREY, ANTOINE; DENG, YAPING";" UNIV SAVOIE MT BLANC, ISTERRE, CHAMBERY, FRANCE.; ";;
;IUCRJ;DECIPHERING MINERALOGICAL CHANGES AND CARBONATION DEVELOPMENT DURING HYDRATION AND AGEING OF A CONSOLIDATED TERNARY BLENDED CEMENT PASTE;FERNANDEZ-MARTINEZ, ALEJANDRO;" CNRS, ISTERRE, F-38041 GRENOBLE, FRANCE.; ";;
;SEDIMENTARY GEOLOGY;SEDIMENTARY EVIDENCE OF HISTORICAL AND PREHISTORICAL EARTHQUAKES ALONG THE VENTA DE BRAVO FAULT SYSTEM, ACAMBAY GRABEN (CENTRAL MEXICO);AUDIN, LAURENCE;" UNIV JOSEPH FOURIER, IRD, ISTERRE, INST SCI TERRE,OSUG, GRENOBLE 1, FRANCE.; ";;
;JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH;MONITORING LOCAL CHANGES IN GRANITE ROCK UNDER BIAXIAL TEST: A SPATIOTEMPORAL IMAGING APPLICATION WITH DIFFUSE WAVES;"LAROSE, ERIC; BAILLET, LAURENT";" CNRS, ISTERRE, GRENOBLE, FRANCE.; ";;
;STRUCTURAL HEALTH MONITORING-AN INTERNATIONAL JOURNAL;THREE-DIMENSIONAL IN-SITU IMAGING OF CRACKS IN CONCRETE USING DIFFUSE ULTRASOUND;"ZHANG, YUXIANG; LAROSE, ERIC";" CNRS, ISTERRE, BP53, F-38041 GRENOBLE 9, FRANCE.; ";;
;JOURNAL OF ASIAN EARTH SCIENCES;ECLOGITES AND GARNET CLINOPYROXENITES IN THE ANRAKHAI COMPLEX, CENTRAL ASIAN OROGENIC BELT, SOUTHERN KAZAKHSTAN: P-T EVOLUTION, PROTOLITHS AND SOME GEODYNAMIC IMPLICATIONS;"BATANOVA, VALENTINA G.;";" UNIV GRENOBLE 1, CNRS, ISTERRE, UMR 5275, BP 53, FR-38041 GRENOBLE 09, FRANCE.; ";;
;GEOMORPHOLOGY;NEOGENE-QUATERNARY SLOW COASTAL UPLIFT OF WESTERN EUROPE THROUGH THE PERSPECTIVE OF SEQUENCES OF STRANDLINES FROM THE COTENTIN PENINSULA (NORMANDY, FRANCE);"HUSSON, L.;";" CNRS, ISTERRE, F-38014 GRENOBLE, FRANCE.; ";;
;GEOMORPHOLOGY;NEOGENE-QUATERNARY SLOW COASTAL UPLIFT OF WESTERN EUROPE THROUGH THE PERSPECTIVE OF SEQUENCES OF STRANDLINES FROM THE COTENTIN PENINSULA (NORMANDY, FRANCE);"HUSSON, L.;";" IRD, ISTERRE, F-38014 GRENOBLE, FRANCE.; ";;
;INTERNATIONAL JOURNAL OF COAL GEOLOGY;A HIGH RESOLUTION INTERFEROMETRIC METHOD TO MEASURE LOCAL SWELLING DUE TO CO2 EXPOSURE IN COAL AND SHALE;"RENARD, F.;";" ISTERRE, CNRS, GRENOBLE, FRANCE.;";;
;GEOPHYSICAL JOURNAL INTERNATIONAL;VARIATIONS OF PETROPHYSICAL PROPERTIES AND SPECTRAL INDUCED POLARIZATION IN RESPONSE TO DRAINAGE AND IMBIBITION: A STUDY ON A CORRELATED RANDOM TUBE NETWORK;REVIL, ANDRE;" UNIV SAVOIE MT BLANC, ISTERRE, F-73000 CHAMBERY, FRANCE.;";;
;JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING;ELASTICITY AND ELECTRICAL RESISTIVITY OF CHALK AND GREENSAND DURING WATER FLOODING WITH SELECTIVE IONS;"REVIL, A.;";" UNIV SAVOIE MT BLANC, ISTERRE, CNRS, CHAMBERY, FRANCE.; ";;
;BULLETIN OF EARTHQUAKE ENGINEERING;BASIN EFFECTS ON GROUND MOTION: THE CASE OF A HIGH-RESOLUTION EXPERIMENT IN CEPHALONIA (GREECE);"CORNOU, C.;; BARD, P.; -Y.;";" UNIV GRENOBLE, INST SCI TERRE ISTERRE, GRENOBLE, FRANCE.; ";;
;PROCEEDINGS OF INTERNATIONAL CONFERENCE ON NOISE AND VIBRATION ENGINEERING (ISMA2018) / INTERNATIONAL CONFERENCE ON UNCERTAINTY IN STRUCTURAL DYNAMICS (USD2018);ESTIMATION OF NORMAL CONTACT STIFFNESS FOR DIFFERENT CONTACT PAIRS: EXPERIMENTS AND NUMERICAL APPROACH;"BAILLET, L.;";" JOSEPH FOURIER UNIV, ISTERRE, INST SCI TERRE, CNRS, GRENOBLE 1381 RUE PISCINE,DOMAINE UNIV, F-38400 ST MARTIN DHERES, FRANCE.;";;
;GEOFLUIDS;PREFERENTIAL WATER INFILTRATION PATH IN A SLOW-MOVING CLAYEY EARTHSLIDE EVIDENCED BY CROSS-CORRELATION OF HYDROMETEOROLOGICAL TIME SERIES (CHARLAIX LANDSLIDE, FRENCH WESTERN ALPS);BIEVRE, GREGORY;" ISTERRE, F-38000 GRENOBLE, FRANCE.; ";;
;EARTH AND PLANETARY SCIENCE LETTERS;SEISMIC EVIDENCE FOR DEPTH-DEPENDENT METASOMATISM IN CRATONS;"PEDERSEN, HELLE A.;; ARNDT, NICHOLAS T.;";" UNIV JOSEPH FOURIER, LGIT, GRENOBLE, FRANCE.; ";;
;NEW JOURNAL OF PHYSICS;WAVELENGTH-DISPERSIVE SPECTROSCOPY IN THE HARD X-RAY REGIME OF A HEAVY HIGHLY-CHARGED ION: THE 1S LAMB SHIFT IN HYDROGEN-LIKE GOLD;"SIMIONOVICI, A.;";" UGA, CNRS, INST SCI TERRE, CS 40700, F-38058 GRENOBLE, FRANCE.; ";;
;JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA;FAST RAYPATH SEPARATION BASED ON LOW-RANK MATRIX APPROXIMATION IN A SHALLOW-WATER WAVEGUIDE;ROUX, PHILIPPE;" UNIV JOSEPH FOURIER, INST SCI TERRE, CNRS, 1381 RUE PISCINE, ST MARTIN DHERES, FRANCE.; ";;
;NATURE COMMUNICATIONS;COMPOSITIONAL HETEROGENEITY NEAR THE BASE OF THE MANTLE TRANSITION ZONE BENEATH HAWAII;CAMPILLO, MICHEL;" UNIV JOSEPH FOURIER, INST SCI TERRE, BP 53X, F-38041 GRENOBLE, FRANCE.; ";;
;BASIN RESEARCH;WHY IS THERE NO COASTAL CORDILLERA AT THE ARICA BEND (WESTERN CENTRAL ANDES)?;AUDIN, LAURENCE;" UNIV JOSEPH FOURIER, IRD, CNRS, INST SCI TERRE, ST MARTIN DHERES, FRANCE.;";;
LAMA;;;;;;
LAPP;;;;;;
;PHYSICAL REVIEW LETTERS;MEASUREMENT OF ANTIPROTON PRODUCTION IN P-HE COLLISIONS AT ROOT S-NN=110 GEV;"CHEFDEVILLE, M.;; DECAMP, D.;; GHEZ, PH.;; MARCHAND, J.; F.;; MINARD, M.; -N.;; PIETRZYK, B.;; REBOUD, M.;; T'JAMPENS, S.;; TOURNEFIER, E.;; XU, Z.;";" UNIV SAVOIE MONT BLANC, UNIV GRENOBLE ALPS, CNRS, IN2P3,LAPP, ANNECY, FRANCE.; ";;
;JOURNAL OF HIGH ENERGY PHYSICS;MEASUREMENT OF THE TIME-INTEGRATED CP ASYMMETRY IN D (0) -> K (S) (0) K (S) (0) DECAYS;"CHEFDEVILLE, M.;; DECAMP, D.;; GHEZ, PH.;; MARCHAND, J.; F.;; MINARD, M.; -N.;; PIETRZYK, B.;; REBOUD, M.;; T'JAMPENS, S.;; TOURNEFIER, E.;; XU, Z.;";" UNIV SAVOIE MT BLANC, UNIV GRENOBLE, CNRS, IN2P3,LAPP, ANNECY, FRANCE.; ";;
;EUROPEAN PHYSICAL JOURNAL C;MEASUREMENT OF THE W-BOSON MASS IN PP COLLISIONS AT ROOT S = 7 TEV WITH THE ATLAS DETECTOR (VOL 78, 110, 2018);"BERGER, N.;; BURGER, A.; M.;; DELMASTRO, M.;; DI CIACCIO, L.;; ELLES, S.;; GREVTSOV, K.;; GUILLEMIN, T.;; HRYN'OVA, T.;; JEZEQUEL, S.;; KOLETSOU, I.;; LAFAYE, R.;; LEVEQUE, J.;; MASTRANDREA, P.;; SAUVAN, E.;; SMART, B.; H.;; TODOROVA-NOVA, S.;; VALLIER, A.;; WINGERTER-SEEZ, I.;; YATSENKO, E.;";" CNRS, IN2P3, LAPP, ANNECY LE VIEUX, FRANCE.; ";;
;NUCLEAR PHYSICS A;MEASUREMENT OF JET FRAGMENTATION IN 5.02 TEV PROTON-LEAD AND PROTON-PROTON COLLISIONS WITH THE ATLAS DETECTOR;"BERGER, N.;; BURGER, A.; M.;; DELMASTRO, M.;; DI CIACCIO, L.;; ELLES, S.;; GREVTSOV, K.;; GUILLEMIN, T.;; HRYN'OVA, T.;; JEZEQUEL, S.;; KIVERNYK, O.;; KOLETSOU, I.;; LAFAYE, R.;; LEVEQUE, J.;; MARTINEZ, N.; LORENZO; MASTRANDREA, P.;; RASPOPOV, S.;; SAUVAN, E.;; SMART, B.; H.;; TODOROVA-NOVA, S.;; VALLIER, A.;; WINGERTER-SEEZ, I.;; YATSENKO, E.;";" CNRS, IN2P3, LAPP, ANNECY LE VIEUX, FRANCE.; ";;
;PHYSICAL REVIEW D;MEASUREMENTS OF HIGGS BOSON PROPERTIES IN THE DIPHOTON DECAY CHANNEL WITH 36 FB(-1) OF PP COLLISION DATA AT ROOT S=13 TEV WITH THE ATLAS DETECTOR;"BERGER, N.;; BURGER, A.; M.;; DELMASTRO, M.;; DI CIACCIO, L.;; ELLES, S.;; GOY, C.;; GREVTSOV, K.;; GUILLEMIN, T.;; HRYN'OVA, T.;; JEZEQUEL, S.;; KIVERNYK, O.;; KOLETSOU, I.;; LAFAYE, R.;; LEVEQUE, J.;; MARTINEZ, N.; LORENZO; MASTRANDREA, P.;; RASPOPOV, S.;; SAUVAN, E.;; SMART, B.; H.;; TODOROVA-NOVA, S.;; VALLIER, A.;; WINGERTER-SEEZ, I.;; YATSENKO, E.;";" CNRS, IN2P3, LAPP, ANNECY LE VIEUX, FRANCE.; ";;
;PHYSICAL REVIEW LETTERS;MEASUREMENT OF THE SOFT-DROP JET MASS IN PP COLLISIONS AT ROOT S=13 TEV WITH THE ATLAS DETECTOR;"BERGER, N.;; BURGER, A.; M.;; DELMASTRO, M.;; DI CIACCIO, L.;; ELLES, S.;; GREVTSOV, K.;; GUILLEMIN, T.;; HRYN'OVA, T.;; JEZEQUEL, S.;; KIVERNYK, O.;; KOLETSOU, I; LAFAYE, R.;; LEVEQUE, J.;; MARTINEZ, N.; LORENZO; MASTRANDREA, P.;; RASPOPOV, S.;; SAUVAN, E.;; SMART, B.; H.;; TODOROVA-NOVA, S.;; VALLIER, A.;; WINGERTER-SEEZ, I; YATSENKO, E.;";" CNRS, IN2P3, LAPP, ANNECY LE VIEUX, FRANCE.; ";;
;PHYSICAL REVIEW LETTERS;SEARCH FOR LOW-MASS DIJET RESONANCES USING TRIGGER-LEVEL JETS WITH THE ATLAS DETECTOR IN PP COLLISIONS AT ROOT S=13 TEV;"BERGER, N.;; BURGER, A.; M.;; DARTSI, O.;; DELMASTRO, M.;; DI CIACCIO, L.;; FALKE, P.; J.;; FALKE, S.;; GOY, C.;; GUILLEMIN, T.;; HRYN'OVA, T.;; JEZEQUEL, S.;; KIVERNYK, O.;; KOLETSOU, I.;; LAFAYE, R.;; LEVEQUE, J.;; MARTINEZ, N.; LORENZO; MASTRANDREA, P.;; RASPOPOV, S.;; SAUVAN, E.;; SMART, B.; H.;; TODOROVA-NOVA, S.;; VALLIER, A.;; WINGERTER-SEEZ, I.;; YATSENKO, E.;";" UNIV SAVOIE MT BLANC, UNIV GRENOBLE APES, IN2P3, LAPP,CNRS, ANNECY, FRANCE.; ";;
;PHYSICAL REVIEW LETTERS;OBSERVATION OF COMPLEX TIME STRUCTURES IN THE COSMIC-RAY ELECTRON AND POSITRON FLUXES WITH THE ALPHA MAGNETIC SPECTROMETER ON THE INTERNATIONAL SPACE STATION;"CAROFF, S.;; COIGNET, G.;; GOY, C.;; POIREAU, V.;; ROSIER-LEES, S.;; VIALLE, J.; P.;";" CNRS IN2P3, LAPP, F-74941 ANNECY LE VIEUX, FRANCE.; ";;
;PHYSICAL REVIEW LETTERS;PRECISION MEASUREMENT OF COSMIC-RAY NITROGEN AND ITS PRIMARY AND SECONDARY COMPONENTS WITH THE ALPHA MAGNETIC SPECTROMETER ON THE INTERNATIONAL SPACE STATION;"CAROFF, S.;; COIGNET, G.;; GOY, C.;; POIREAU, V.;; ROSIER-LEES, S.;; VIALLE, J.; P.;";" CNRS IN2P3, LAPP, F-74000 ANNECY, FRANCE.; ";;
;PHYSICAL REVIEW LETTERS;OBSERVATION OF FINE TIME STRUCTURES IN THE COSMIC PROTON AND HELIUM FLUXES WITH THE ALPHA MAGNETIC SPECTROMETER ON THE INTERNATIONAL SPACE STATION;"CAROFF, S.;; COIGNET, G.;; GOY, C.;; POIREAU, V.;; ROSIER-LEES, S.;; VIALLE, J.; P.;";" CNRS IN2P3, LAPP, F-74941 ANNECY LE VIEUX, FRANCE.; ";;
;JOURNAL OF HIGH ENERGY PHYSICS;SEARCH FOR EXCLUSIVE HIGGS AND Z BOSON DECAYS TO PHI GAMMA AND RHO GAMMA WITH THE ATLAS DETECTOR;"BERGER, N.;; BURGER, A.; M.;; DELMASTRO, M.;; DI CIACCIO, L.;; GREVTSOV, K.;; GUILLEMIN, T.;; HRYN'OVA, T.;; JEZEQUEL, S.;; KIVERNYK, O.;; KOLETSOU, I; LAFAYE, R.;; LEVEQUE, J.;; MARTINEZ, N.; LORENZO; MASTRANDREA, P.;; RASPOPOV, S.;; SAUVAN, E.;; SMART, B.; H.;; TODOROVA-NOVA, S.;; VALLIER, A.;; WINGERTER-SEEZ, I; YATSENKO, E.;";" CNRS, LAPP, IN2P3, ANNECY LE VIEUX, FRANCE.; ";;
;JOURNAL OF HIGH ENERGY PHYSICS;SEARCH FOR HIGGS BOSON DECAYS TO BEYOND-THE-STANDARD-MODEL LIGHT BOSONS IN FOUR-LEPTON EVENTS WITH THE ATLAS DETECTOR AT ROOT S=13 TEV;"BERGER, N.;; BURGER, A.; M.;; DELMASTRO, M.;; DI CIACCIO, L.;; ELLES, S.;; GREVTSOV, K.;; GUILLEMIN, T.;; HRYN'OVA, T.;; JEZEQUEL, S.;; KIVERNYK, O.;; KOLETSOU, I.;; LAFAYE, R.;; LEVEQUE, J.;; MARTINEZ, N.; LORENZO; MASTRANDREA, P.;; RASPOPOV, S.;; SAUVAN, E.;; SMART, B.; H.;; TODOROVA-NOVA, S.;; VALLIER, A.;; WINGERTER-SEEZ, I.;; YATSENKO, E.;";" LAPP, CNRS IN2P3, ANNECY LE VIEUX, FRANCE.; ";;
